"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","5/151","17/18862",1.76184433397848e-07,0.000394472892386562,0.000334905473107154,"567/3133/3106/3105/6892",5
"BP","GO:0002483","antigen processing and presentation of endogenous peptide antigen","5/151","19/18862",3.26820954752744e-07,0.000394472892386562,0.000334905473107154,"567/3133/3106/3105/6892",5
"BP","GO:0019883","antigen processing and presentation of endogenous antigen","5/151","26/18862",1.76712921718469e-06,0.00139229429296965,0.00118205075149868,"567/3133/3106/3105/6892",5
"BP","GO:0002479","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent","7/151","75/18862",2.30703279696711e-06,0.00139229429296965,0.00118205075149868,"567/3133/3106/811/3105/5691/6892",7
"BP","GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","7/151","80/18862",3.57121132167274e-06,0.0017241808261036,0.0014638207249046,"567/3133/3106/811/3105/5691/6892",7
"BP","GO:0030073","insulin secretion","10/151","207/18862",6.66470071760212e-06,0.00268143125538192,0.00227652145564409,"2641/1803/169026/1392/7425/292/25874/54097/8431/1113",10
"BP","GO:0009914","hormone transport","12/151","312/18862",8.19312057519422e-06,0.00282545615264555,0.00239879785863205,"2641/7276/1803/23428/169026/1392/7425/292/25874/54097/8431/1113",12
"BP","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","7/151","99/18862",1.47440907529356e-05,0.00444902938469833,0.00377720324946917,"567/3133/3106/811/3105/5691/6892",7
"BP","GO:0051604","protein maturation","11/151","293/18862",2.4679186702887e-05,0.00661950630008547,0.00561992707725392,"51126/10159/5126/4325/5646/2152/10549/811/28972/1363/9528",11
"BP","GO:0030072","peptide hormone secretion","10/151","247/18862",3.08089585442894e-05,0.00743728259259146,0.00631421497744541,"2641/1803/169026/1392/7425/292/25874/54097/8431/1113",10
"BP","GO:0009306","protein secretion","12/151","367/18862",4.07844924986494e-05,0.00842330863144233,0.00715134605390407,"2641/1803/169026/1392/7425/292/1595/25874/54097/8431/1113/7857",12
"BP","GO:0035592","establishment of protein localization to extracellular region","12/151","368/18862",4.18722881430439e-05,0.00842330863144233,0.00715134605390407,"2641/1803/169026/1392/7425/292/1595/25874/54097/8431/1113/7857",12
